,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 0, 0, 1, 3, 2)",215039,257510,246923,236939,227508,218587,210137,202123,194514,187281,180400,173846,167600,161642
"Z(2, 0, 1, 0, 0, 0)",215039,257510,253092,248803,244636,240585,236643,232805,229066,225422,221867,218398,215012,211705
"Z(2, 0, 1, 0, 0, 1)",215039,257510,248689,240363,232483,225013,217919,211169,204738,198600,192735,187122,181746,176590
"Z(2, 0, 1, 0, 0, 2)",215039,257510,258526,259502,260439,261338,262198,263021,263808,264558,265274,265954,266600,267213
"Z(2, 0, 1, 0, 1, 0)",215039,257510,253047,248718,244517,240437,236472,232616,228864,225212,221654,218187,214806,211509
"Z(2, 0, 1, 0, 1, 1)",215039,257510,250587,243951,237582,231463,225579,219914,214456,209193,204114,199209,194469,189885
"Z(2, 0, 1, 0, 1, 2)",215039,257510,255846,254184,252525,250870,249217,247568,245923,244281,242643,241009,239380,237755
"Z(2, 0, 1, 0, 2, 0)",215039,257510,253250,249110,245084,241166,237351,233634,230012,226479,223031,219666,216380,213169
"Z(2, 0, 1, 0, 2, 1)",215039,257510,249318,241501,234030,226882,220035,213469,207166,201111,195288,189685,184289,179090
"Z(2, 0, 1, 0, 2, 2)",215039,257510,248649,240236,232231,224603,217324,210368,203712,197336,191222,185354,179717,174297
"Z(2, 0, 1, 0, 3, 0)",215039,257510,252291,247243,242360,237632,233053,228616,224316,220146,216102,212177,208368,204670
"Z(2, 0, 1, 0, 3, 1)",215039,257510,246528,236193,226445,217237,208524,200268,192433,184990,177910,171168,164743,158612
"Z(2, 0, 1, 0, 3, 2)",215039,257510,248002,239018,230514,222452,214798,207523,200599,194002,187711,181706,175969,170484
"Z(2, 0, 1, 1, 0, 0)",215039,257510,254156,250882,247682,244552,241488,238487,235545,232660,229828,227047,224314,221629
"Z(2, 0, 1, 1, 0, 1)",215039,257510,248690,240366,232490,225026,217939,211197,204775,198648,192795,187195,181833,176691
"Z(2, 0, 1, 1, 0, 2)",215039,257510,259967,262369,264716,267008,269247,271432,273566,275647,277676,279655,281584,283463
"Z(2, 0, 1, 1, 1, 0)",215039,257510,254074,250730,247472,244296,241198,238173,235219,232331,229507,226743,224037,221387
"Z(2, 0, 1, 1, 1, 1)",215039,257510,250588,243956,237592,231480,225603,219947,214500,209248,204181,199290,194564,189995
