,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 2, 0, 1, 0, 0)",126324,151273,144670,138469,132630,127121,121913,116982,112304,107861,103635,99612,95778,92121
"Z(2, 2, 0, 1, 0, 1)",126324,151273,143235,135855,129045,122738,116879,111419,106317,101539,97055,92838,88865,85116
"Z(2, 2, 0, 1, 0, 2)",126324,151273,145164,139426,134023,128925,124106,119541,115211,111098,107184,103457,99903,96510
"Z(2, 2, 0, 1, 1, 0)",126324,151273,144811,138740,133021,127625,122523,117692,113109,108757,104619,100679,96925,93345
"Z(2, 2, 0, 1, 1, 1)",126324,151273,147916,144697,141605,138634,135775,133020,130364,127800,125324,122929,120613,118371
"Z(2, 2, 0, 1, 1, 2)",126324,151273,148714,146196,143719,141282,138885,136528,134210,131931,129690,127487,125321,123193
"Z(2, 2, 0, 1, 2, 0)",126324,151273,144929,138960,133331,128012,122978,118204,113672,109362,105260,101352,97624,94065
"Z(2, 2, 0, 1, 2, 1)",126324,151273,142771,134945,127710,120999,114757,108936,103495,98398,93615,89119,84887,80897
"Z(2, 2, 0, 1, 2, 2)",126324,151273,142130,133724,125965,118783,112117,105916,100134,94734,89681,84945,80501,76324
"Z(2, 2, 0, 1, 3, 0)",126324,151273,144479,138114,132136,126511,121208,116202,111468,106986,102738,98707,94878,91237
"Z(2, 2, 0, 1, 3, 1)",126324,151273,142531,134480,127037,120134,113715,107731,102141,96909,92002,87395,83062,78981
"Z(2, 2, 0, 1, 3, 2)",126324,151273,141534,132602,124377,116781,109749,103224,97156,91504,86228,81297,76683,72356
"Z(2, 2, 1, 0, 0, 0)",126324,151273,145080,139256,133765,128575,123661,118998,114567,110350,106332,102499,98837,95337
"Z(2, 2, 1, 0, 0, 1)",126324,151273,143259,135902,129114,122829,116991,111552,106471,101714,97249,93051,89097,85366
"Z(2, 2, 1, 0, 0, 2)",126324,151273,147291,143546,140013,136668,133495,130475,127595,124844,122211,119687,117264,114936
"Z(2, 2, 1, 0, 1, 0)",126324,151273,145212,139510,134133,129050,124237,119671,115333,111205,107273,103523,99942,96520
"Z(2, 2, 1, 0, 1, 1)",126324,151273,147971,144808,141774,138860,136059,133364,130767,128263,125847,123514,121259,119078
"Z(2, 2, 1, 0, 1, 2)",126324,151273,152437,153545,154601,155606,156562,157470,158332,159149,159923,160654,161345,161995
"Z(2, 2, 1, 0, 2, 0)",126324,151273,145344,139757,134481,129487,124752,120255,115976,111901,108014,104303,100757,97364
"Z(2, 2, 1, 0, 2, 1)",126324,151273,142791,134983,127765,121071,114845,109039,103612,98529,93759,89276,85057,81078
"Z(2, 2, 1, 0, 2, 2)",126324,151273,143143,135643,128692,122227,116197,110555,105265,100294,95614,91200,87033,83093
"Z(2, 2, 1, 0, 3, 0)",126324,151273,144876,138875,133232,127914,122894,118147,113652,109389,105341,101494,97834,94348
"Z(2, 2, 1, 0, 3, 1)",126324,151273,142549,134516,127088,120200,113796,107825,102248,97028,92132,87536,83213,79141
"Z(2, 2, 1, 0, 3, 2)",126324,151273,142437,134306,126790,119820,113335,107287,101632,96334,91362,86688,82289,78141
"Z(2, 2, 1, 1, 0, 0)",126324,151273,145282,139642,134319,129283,124509,119974,115659,111548,107626,103879,100297,96868
"Z(2, 2, 1, 1, 0, 1)",126324,151273,143261,135907,129122,122840,117006,111571,106494,101740,97279,93086,89137,85411
"Z(2, 2, 1, 1, 0, 2)",126324,151273,148340,145569,142941,140438,138048,135759,133560,131444,129403,127433,125527,123682
"Z(2, 2, 1, 1, 1, 0)",126324,151273,145409,139889,134678,129748,125076,120639,116420,112401,108569,104910,101413,98067
"Z(2, 2, 1, 1, 1, 1)",126324,151273,147982,144831,141810,138910,136123,133443,130862,128375,125976,123661,121424,119261
"Z(2, 2, 1, 1, 1, 2)",126324,151273,154196,157028,159770,162426,164996,167484,169892,172220,174472,176649,178752,180783
"Z(2, 2, 1, 1, 2, 0)",126324,151273,145547,140148,135043,130208,125619,121255,117100,113138,109354,105738,102278,98965
"Z(2, 2, 1, 1, 2, 1)",126324,151273,142793,134988,127773,121081,114858,109054,103630,98549,93782,89302,85085,81109
"Z(2, 2, 1, 1, 2, 2)",126324,151273,143718,136726,130224,124155,118472,113134,108108,103366,98883,94639,90616,86797
"Z(2, 2, 1, 1, 3, 0)",126324,151273,145073,139252,133774,128607,123725,119105,114726,110569,106619,102860,99281,95869
"Z(2, 2, 1, 1, 3, 1)",126324,151273,142552,134521,127096,120211,113809,107841,102266,97048,92155,87561,83240,79171
"Z(2, 2, 1, 1, 3, 2)",126324,151273,142967,135301,128193,121578,115403,109621,104196,99095,94288,89754,85471,81419
