,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(2, 1, 3, 0)",122542,146744,146584,146353,146057,145702,145293,144833,144327,143779,143192,142570,141916,141232
"U(2, 1, 3, 1)",122542,146744,148423,149913,151235,152405,153439,154351,155153,155856,156470,157003,157462,157855
"U(2, 1, 3, 2)",122542,146744,138940,131573,124621,118062,111876,106044,100546,95364,90481,85879,81541,77451
"U(2, 2, 0, 0)",122542,146744,142895,139175,135579,132099,128731,125469,122307,119242,116270,113385,110585,107866
"U(2, 2, 0, 1)",122542,146744,142724,138910,135282,131825,128526,125371,122350,119451,116665,113985,111404,108913
"U(2, 2, 0, 2)",122542,146744,145937,145112,144268,143409,142535,141647,140747,139835,138913,137981,137041,136093
"U(2, 2, 1, 0)",122542,146744,142344,138112,134039,130118,126341,122700,119188,115800,112530,109372,106321,103372
"U(2, 2, 1, 1)",122542,146744,143888,141126,138454,135867,133361,130932,128576,126290,124071,121916,119823,117787
"U(2, 2, 1, 2)",122542,146744,144479,142242,140032,137851,135697,133571,131472,129401,127358,125343,123354,121393
"U(2, 2, 2, 0)",122542,146744,142525,138461,134541,130760,127111,123587,120182,116891,113709,110631,107653,104769
"U(2, 2, 2, 1)",122542,146744,142034,137551,133277,129198,125300,121570,117996,114569,111278,108116,105075,102148
"U(2, 2, 2, 2)",122542,146744,142346,138112,134031,130097,126302,122638,119101,115683,112380,109185,106095,103105
"U(2, 2, 3, 0)",122542,146744,141956,137365,132961,128733,124673,120772,117022,113416,109946,106607,103392,100295
"U(2, 2, 3, 1)",122542,146744,141273,136085,131157,126470,122008,117754,113694,109815,106104,102551,99146,95881
"U(2, 2, 3, 2)",122542,146744,141131,135791,130701,125848,121215,116789,112557,108506,104627,100909,97344,93922
"Z(0, 1, 0, 1, 0, 0)",122542,146744,144080,141463,138894,136374,133904,131486,129121,126809,124550,122346,120198,118104
"Z(0, 1, 0, 1, 0, 1)",122542,146744,145373,143893,142322,140675,138963,137199,135393,133554,131691,129810,127918,126020
"Z(0, 1, 0, 1, 0, 2)",122542,146744,143447,140235,137104,134053,131078,128179,125352,122596,119908,117287,114731,112239
"Z(0, 1, 0, 1, 1, 0)",122542,146744,146811,146798,146710,146550,146323,146031,145678,145269,144805,144290,143728,143121
"Z(0, 1, 0, 1, 1, 1)",122542,146744,145100,143470,141854,140251,138661,137084,135520,133967,132427,130898,129381,127875
"Z(0, 1, 0, 1, 1, 2)",122542,146744,146193,145595,144954,144271,143549,142790,141995,141168,140309,139421,138506,137565
"Z(0, 1, 0, 1, 2, 0)",122542,146744,146249,145738,145210,144666,144105,143529,142937,142331,141709,141073,140424,139760
"Z(0, 1, 0, 1, 2, 1)",122542,146744,145858,144896,143871,142789,141659,140487,139280,138044,136782,135500,134201,132889
"Z(0, 1, 0, 1, 2, 2)",122542,146744,147089,147383,147624,147817,147961,148058,148111,148119,148086,148011,147896,147742
"Z(0, 1, 0, 1, 3, 0)",122542,146744,148391,149967,151474,152915,154290,155603,156855,158047,159182,160260,161285,162256
"Z(0, 1, 0, 1, 3, 1)",122542,146744,147897,148910,149795,150561,151220,151778,152245,152627,152930,153161,153324,153424
"Z(0, 1, 0, 1, 3, 2)",122542,146744,150073,153296,156416,159438,162364,165197,167940,170596,173167,175656,178066,180397
"Z(0, 1, 1, 0, 0, 0)",122542,146744,144790,142854,140942,139055,137197,135372,133582,131829,130115,128443,126815,125232
"Z(0, 1, 1, 0, 0, 1)",122542,146744,145404,143956,142417,140802,139122,137392,135619,133815,131986,130140,128284,126422
"Z(0, 1, 1, 0, 0, 2)",122542,146744,144143,141592,139087,136629,134217,131850,129527,127246,125008,122812,120657,118541
"Z(0, 1, 1, 0, 1, 0)",122542,146744,147601,148372,149059,149667,150198,150655,151042,151361,151615,151808,151941,152018
"Z(0, 1, 1, 0, 1, 1)",122542,146744,145133,143537,141956,140389,138836,137296,135770,134257,132756,131268,129791,128326
