,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 0, 1, 3, 2)",8312,8312,8312,8312,8312,8312,8312,8312,8312,8312,8312,8312,8312,8312
"Z(0, 2, 1, 0, 0, 0)",9929,9929,9929,9929,9929,9929,9929,9929,9929,9929,9929,9929,9929,9929
"Z(0, 2, 1, 0, 0, 1)",8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382,8382
"Z(0, 2, 1, 0, 0, 2)",10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808,10808
"Z(0, 2, 1, 0, 1, 0)",10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
"Z(0, 2, 1, 0, 1, 1)",10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331,10331
"Z(0, 2, 1, 0, 1, 2)",11160,11160,11160,11160,11160,11160,11160,11160,11160,11160,11160,11160,11160,11160
"Z(0, 2, 1, 0, 2, 0)",10092,10092,10092,10092,10092,10092,10092,10092,10092,10092,10092,10092,10092,10092
"Z(0, 2, 1, 0, 2, 1)",8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779,8779
"Z(0, 2, 1, 0, 2, 2)",8119,8119,8119,8119,8119,8119,8119,8119,8119,8119,8119,8119,8119,8119
"Z(0, 2, 1, 0, 3, 0)",9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588,9588
"Z(0, 2, 1, 0, 3, 1)",7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534,7534
"Z(0, 2, 1, 0, 3, 2)",8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293
"Z(0, 2, 1, 1, 0, 0)",10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358,10358
"Z(0, 2, 1, 1, 0, 1)",8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480
"Z(0, 2, 1, 1, 0, 2)",11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
"Z(0, 2, 1, 1, 1, 0)",10424,10424,10424,10424,10424,10424,10424,10424,10424,10424,10424,10424,10424,10424
"Z(0, 2, 1, 1, 1, 1)",10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453,10453
"Z(0, 2, 1, 1, 1, 2)",11680,11680,11680,11680,11680,11680,11680,11680,11680,11680,11680,11680,11680,11680
"Z(0, 2, 1, 1, 2, 0)",10527,10527,10527,10527,10527,10527,10527,10527,10527,10527,10527,10527,10527,10527
"Z(0, 2, 1, 1, 2, 1)",8882,8882,8882,8882,8882,8882,8882,8882,8882,8882,8882,8882,8882,8882
"Z(0, 2, 1, 1, 2, 2)",8364,8364,8364,8364,8364,8364,8364,8364,8364,8364,8364,8364,8364,8364
"Z(0, 2, 1, 1, 3, 0)",9991,9991,9991,9991,9991,9991,9991,9991,9991,9991,9991,9991,9991,9991
"Z(0, 2, 1, 1, 3, 1)",7621,7621,7621,7621,7621,7621,7621,7621,7621,7621,7621,7621,7621,7621
"Z(0, 2, 1, 1, 3, 2)",8553,8553,8553,8553,8553,8553,8553,8553,8553,8553,8553,8553,8553,8553
"Z(1, 0, 0, 1, 0, 0)",13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117
"Z(1, 0, 0, 1, 0, 1)",13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305
"Z(1, 0, 0, 1, 0, 2)",13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386
"Z(1, 0, 0, 1, 1, 0)",15715,15715,15715,15715,15715,15715,15715,15715,15715,15715,15715,15715,15715,15715
"Z(1, 0, 0, 1, 1, 1)",12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124,12124
"Z(1, 0, 0, 1, 1, 2)",16086,16086,16086,16086,16086,16086,16086,16086,16086,16086,16086,16086,16086,16086
"Z(1, 0, 0, 1, 2, 0)",15295,15295,15295,15295,15295,15295,15295,15295,15295,15295,15295,15295,15295,15295
"Z(1, 0, 0, 1, 2, 1)",13044,13044,13044,13044,13044,13044,13044,13044,13044,13044,13044,13044,13044,13044
"Z(1, 0, 0, 1, 2, 2)",18267,18267,18267,18267,18267,18267,18267,18267,18267,18267,18267,18267,18267,18267
"Z(1, 0, 0, 1, 3, 0)",17648,17648,17648,17648,17648,17648,17648,17648,17648,17648,17648,17648,17648,17648
"Z(1, 0, 0, 1, 3, 1)",16033,16033,16033,16033,16033,16033,16033,16033,16033,16033,16033,16033,16033,16033
"Z(1, 0, 0, 1, 3, 2)",21567,21567,21567,21567,21567,21567,21567,21567,21567,21567,21567,21567,21567,21567
"Z(1, 0, 1, 0, 0, 0)",13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117,13117
"Z(1, 0, 1, 0, 0, 1)",13269,13269,13269,13269,13269,13269,13269,13269,13269,13269,13269,13269,13269,13269
"Z(1, 0, 1, 0, 0, 2)",13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386,13386
"Z(1, 0, 1, 0, 1, 0)",15713,15713,15713,15713,15713,15713,15713,15713,15713,15713,15713,15713,15713,15713
"Z(1, 0, 1, 0, 1, 1)",12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088
"Z(1, 0, 1, 0, 1, 2)",16084,16084,16084,16084,16084,16084,16084,16084,16084,16084,16084,16084,16084,16084
"Z(1, 0, 1, 0, 2, 0)",15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293
"Z(1, 0, 1, 0, 2, 1)",13005,13005,13005,13005,13005,13005,13005,13005,13005,13005,13005,13005,13005,13005
"Z(1, 0, 1, 0, 2, 2)",18260,18260,18260,18260,18260,18260,18260,18260,18260,18260,18260,18260,18260,18260
"Z(1, 0, 1, 0, 3, 0)",17658,17658,17658,17658,17658,17658,17658,17658,17658,17658,17658,17658,17658,17658
