,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 1, 1, 0, 0)",7733,7733,7733,7733,7733,7733,7733,7733,7733,7733,7733,7733,7733,7733
"Z(1, 0, 1, 1, 0, 1)",7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670,7670
"Z(1, 0, 1, 1, 0, 2)",8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296
"Z(1, 0, 1, 1, 1, 0)",9296,9296,9296,9296,9296,9296,9296,9296,9296,9296,9296,9296,9296,9296
"Z(1, 0, 1, 1, 1, 1)",6830,6830,6830,6830,6830,6830,6830,6830,6830,6830,6830,6830,6830,6830
"Z(1, 0, 1, 1, 1, 2)",8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471
"Z(1, 0, 1, 1, 2, 0)",9048,9048,9048,9048,9048,9048,9048,9048,9048,9048,9048,9048,9048,9048
"Z(1, 0, 1, 1, 2, 1)",7793,7793,7793,7793,7793,7793,7793,7793,7793,7793,7793,7793,7793,7793
"Z(1, 0, 1, 1, 2, 2)",10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887
"Z(1, 0, 1, 1, 3, 0)",10540,10540,10540,10540,10540,10540,10540,10540,10540,10540,10540,10540,10540,10540
"Z(1, 0, 1, 1, 3, 1)",8910,8910,8910,8910,8910,8910,8910,8910,8910,8910,8910,8910,8910,8910
"Z(1, 0, 1, 1, 3, 2)",13346,13346,13346,13346,13346,13346,13346,13346,13346,13346,13346,13346,13346,13346
"Z(1, 1, 0, 1, 0, 0)",9741,9741,9741,9741,9741,9741,9741,9741,9741,9741,9741,9741,9741,9741
"Z(1, 1, 0, 1, 0, 1)",15108,15108,15108,15108,15108,15108,15108,15108,15108,15108,15108,15108,15108,15108
"Z(1, 1, 0, 1, 0, 2)",9061,9061,9061,9061,9061,9061,9061,9061,9061,9061,9061,9061,9061,9061
"Z(1, 1, 0, 1, 1, 0)",12286,12286,12286,12286,12286,12286,12286,12286,12286,12286,12286,12286,12286,12286
"Z(1, 1, 0, 1, 1, 1)",13910,13910,13910,13910,13910,13910,13910,13910,13910,13910,13910,13910,13910,13910
"Z(1, 1, 0, 1, 1, 2)",8497,8497,8497,8497,8497,8497,8497,8497,8497,8497,8497,8497,8497,8497
"Z(1, 1, 0, 1, 2, 0)",11899,11899,11899,11899,11899,11899,11899,11899,11899,11899,11899,11899,11899,11899
"Z(1, 1, 0, 1, 2, 1)",18030,18030,18030,18030,18030,18030,18030,18030,18030,18030,18030,18030,18030,18030
"Z(1, 1, 0, 1, 2, 2)",13728,13728,13728,13728,13728,13728,13728,13728,13728,13728,13728,13728,13728,13728
"Z(1, 1, 0, 1, 3, 0)",14465,14465,14465,14465,14465,14465,14465,14465,14465,14465,14465,14465,14465,14465
"Z(1, 1, 0, 1, 3, 1)",22257,22257,22257,22257,22257,22257,22257,22257,22257,22257,22257,22257,22257,22257
"Z(1, 1, 0, 1, 3, 2)",17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597
"Z(1, 1, 1, 0, 0, 0)",10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293
"Z(1, 1, 1, 0, 0, 1)",15172,15172,15172,15172,15172,15172,15172,15172,15172,15172,15172,15172,15172,15172
"Z(1, 1, 1, 0, 0, 2)",9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848,9848
"Z(1, 1, 1, 0, 1, 0)",13020,13020,13020,13020,13020,13020,13020,13020,13020,13020,13020,13020,13020,13020
"Z(1, 1, 1, 0, 1, 1)",13984,13984,13984,13984,13984,13984,13984,13984,13984,13984,13984,13984,13984,13984
"Z(1, 1, 1, 0, 1, 2)",9127,9127,9127,9127,9127,9127,9127,9127,9127,9127,9127,9127,9127,9127
"Z(1, 1, 1, 0, 2, 0)",12610,12610,12610,12610,12610,12610,12610,12610,12610,12610,12610,12610,12610,12610
"Z(1, 1, 1, 0, 2, 1)",18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128
"Z(1, 1, 1, 0, 2, 2)",14937,14937,14937,14937,14937,14937,14937,14937,14937,14937,14937,14937,14937,14937
"Z(1, 1, 1, 0, 3, 0)",15494,15494,15494,15494,15494,15494,15494,15494,15494,15494,15494,15494,15494,15494
"Z(1, 1, 1, 0, 3, 1)",22413,22413,22413,22413,22413,22413,22413,22413,22413,22413,22413,22413,22413,22413
"Z(1, 1, 1, 0, 3, 2)",19339,19339,19339,19339,19339,19339,19339,19339,19339,19339,19339,19339,19339,19339
"Z(1, 1, 1, 1, 0, 0)",10676,10676,10676,10676,10676,10676,10676,10676,10676,10676,10676,10676,10676,10676
"Z(1, 1, 1, 1, 0, 1)",15378,15378,15378,15378,15378,15378,15378,15378,15378,15378,15378,15378,15378,15378
