,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 0, 1, 0, 0)",34843,34725,34597,34457,34310,34139,33558,32974,32409,31878,31379,30906,30457,30039
"Z(1, 1, 0, 1, 0, 1)",30054,29056,28059,27121,26243,25417,24638,23901,23202,22540,21912,21313,20741,20200
"Z(1, 1, 0, 1, 0, 2)",8811,8486,8181,7895,7626,7373,7135,6910,6696,6493,6301,6118,5943,5777
"Z(1, 1, 0, 1, 1, 0)",41252,43000,44625,46129,47524,48811,49997,51083,52075,52984,53812,54561,55236,55854
"Z(1, 1, 0, 1, 1, 1)",39145,40059,40931,41761,42207,42597,42974,43333,43673,43999,44308,44596,44863,45060
"Z(1, 1, 0, 1, 1, 2)",27749,26879,26061,25290,24567,23885,23240,22628,22046,21494,20969,20466,19984,19527
"Z(1, 1, 0, 1, 2, 0)",39276,40235,41154,42031,42870,43671,44432,45152,45832,46478,47088,47663,48201,48717
"Z(1, 1, 0, 1, 2, 1)",42885,45068,47145,49104,50951,52685,54308,55822,57232,58550,59777,60916,61972,62857
"Z(1, 1, 0, 1, 2, 2)",40409,41880,43248,44510,45680,46757,47750,48659,49491,50257,50959,51598,52180,52687
"Z(1, 1, 0, 1, 3, 0)",43100,45143,47138,49077,50967,52801,54579,56299,57961,59574,61136,62645,64102,65526
"Z(1, 1, 0, 1, 3, 1)",45705,48486,51212,53874,56478,59018,61495,63906,66251,68541,70773,72946,75061,77138
"Z(1, 1, 0, 1, 3, 2)",42222,44057,45823,47527,49181,50786,52347,53862,55336,56777,58185,59557,60897,62221
"Z(1, 1, 1, 0, 0, 0)",34745,34630,34504,34366,34221,34065,33696,33109,32545,32012,31509,31034,30583,30162
"Z(1, 1, 1, 0, 0, 1)",30393,29520,28519,27577,26695,25865,25083,24343,23641,22977,22346,21745,21172,20629
"Z(1, 1, 1, 0, 0, 2)",7710,7421,7150,6896,6658,6434,6223,6024,5834,5656,5486,5324,5169,5023
"Z(1, 1, 1, 0, 1, 0)",41068,42811,44433,45935,47328,48615,49801,50888,51881,52791,53621,54372,55048,55664
"Z(1, 1, 1, 0, 1, 1)",38960,39871,40741,41571,42076,42464,42839,43196,43535,43860,44167,44455,44721,44979
