,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 0, 1, 3, 1)",9919,9926,9931,9934,9935,9933,9929,9924,9917,9908,9897,9885,9871,9856
"Z(1, 0, 0, 1, 3, 2)",8734,8725,8713,8697,8679,8658,8634,8608,8579,8549,8516,8482,8445,8408
"Z(1, 0, 1, 0, 0, 0)",7339,7361,7384,7409,7436,7464,7494,7526,7560,7595,7632,7670,7710,7752
"Z(1, 0, 1, 0, 0, 1)",3387,3330,3275,3222,3170,3119,3070,3023,2976,2931,2888,2846,2805,2765
"Z(1, 0, 1, 0, 0, 2)",3091,3030,2970,2911,2854,2798,2743,2689,2636,2585,2534,2485,2436,2389
"Z(1, 0, 1, 0, 1, 0)",7562,7572,7583,7593,7604,7615,7625,7637,7648,7659,7671,7683,7696,7709
"Z(1, 0, 1, 0, 1, 1)",5062,5022,4980,4939,4896,4854,4811,4768,4725,4681,4638,4594,4551,4507
"Z(1, 0, 1, 0, 1, 2)",5095,5050,5004,4959,4912,4865,4818,4770,4721,4673,4624,4575,4526,4477
"Z(1, 0, 1, 0, 2, 0)",8311,8314,8313,8309,8302,8292,8280,8265,8249,8231,8211,8190,8167,8144
"Z(1, 0, 1, 0, 2, 1)",6260,6231,6200,6166,6130,6092,6052,6011,5969,5925,5880,5834,5788,5741
"Z(1, 0, 1, 0, 2, 2)",8259,8242,8222,8199,8174,8146,8115,8083,8048,8011,7973,7932,7890,7847
"Z(1, 0, 1, 0, 3, 0)",13959,14017,14072,14124,14173,14219,14262,14303,14341,14376,14409,14439,14468,14494
"Z(1, 0, 1, 0, 3, 1)",10346,10362,10376,10387,10396,10403,10408,10411,10413,10413,10411,10407,10402,10396
"Z(1, 0, 1, 0, 3, 2)",17745,17844,17939,18029,18115,18196,18274,18347,18417,18483,18546,18605,18660,18713
"Z(1, 0, 1, 1, 0, 0)",5879,5863,5847,5831,5816,5802,5789,5776,5764,5753,5742,5732,5723,5715
"Z(1, 0, 1, 1, 0, 1)",3386,3326,3268,3212,3157,3104,3052,3001,2952,2904,2857,2812,2767,2724
"Z(1, 0, 1, 1, 0, 2)",4321,4274,4226,4178,4130,4082,4034,3986,3939,3892,3845,3799,3753,3707
"Z(1, 0, 1, 1, 1, 0)",9154,9162,9169,9175,9180,9183,9186,9188,9188,9188,9187,9185,9183,9180
"Z(1, 0, 1, 1, 1, 1)",5264,5224,5183,5141,5099,5057,5014,4971,4928,4884,4841,4797,4753,4710
"Z(1, 0, 1, 1, 1, 2)",7851,7830,7808,7783,7757,7729,7700,7668,7636,7602,7566,7529,7491,7451
"Z(1, 0, 1, 1, 2, 0)",11767,11797,11823,11844,11860,11873,11883,11889,11892,11893,11890,11885,11878,11868
"Z(1, 0, 1, 1, 2, 1)",6579,6553,6524,6493,6459,6424,6387,6348,6308,6267,6225,6181,6137,6092
"Z(1, 0, 1, 1, 2, 2)",13235,13265,13291,13313,13331,13345,13356,13362,13366,13366,13363,13356,13346,13334
"Z(1, 0, 1, 1, 3, 0)",23512,23704,23892,24076,24257,24434,24608,24778,24945,25109,25269,25426,25580,25731
"Z(1, 0, 1, 1, 3, 1)",11314,11347,11378,11407,11433,11458,11481,11502,11521,11539,11555,11570,11584,11596
"Z(1, 0, 1, 1, 3, 2)",32529,32846,33159,33467,33770,34069,34363,34653,34939,35220,35496,35768,36036,36299
"Z(1, 1, 0, 1, 0, 0)",3568,3511,3456,3401,3346,3293,3240,3188,3137,3087,3037,2989,2941,2894
"Z(1, 1, 0, 1, 0, 1)",5359,5318,5277,5234,5191,5146,5102,5056,5010,4964,4917,4870,4823,4775
"Z(1, 1, 0, 1, 0, 2)",2380,2310,2242,2176,2113,2052,1992,1935,1879,1825,1773,1723,1674,1627
"Z(1, 1, 0, 1, 1, 0)",6126,6090,6053,6016,5978,5939,5900,5860,5820,5779,5737,5696,5653,5611
"Z(1, 1, 0, 1, 1, 1)",10555,10562,10567,10570,10571,10570,10566,10561,10553,10543,10531,10517,10502,10484
"Z(1, 1, 0, 1, 1, 2)",4038,3985,3931,3878,3825,3772,3720,3668,3617,3566,3516,3465,3416,3367
"Z(1, 1, 0, 1, 2, 0)",9155,9150,9142,9130,9114,9096,9074,9050,9023,8994,8963,8929,8893,8856
"Z(1, 1, 0, 1, 2, 1)",15252,15313,15369,15421,15468,15512,15551,15586,15617,15644,15668,15687,15704,15716
"Z(1, 1, 0, 1, 2, 2)",7049,7020,6990,6958,6925,6890,6854,6816,6778,6737,6696,6653,6609,6564
"Z(1, 1, 0, 1, 3, 0)",15615,15683,15748,15809,15867,15922,15973,16020,16065,16106,16144,16179,16211,16240
"Z(1, 1, 0, 1, 3, 1)",32433,32758,33080,33399,33715,34027,34336,34641,34943,35241,35535,35825,36112,36395
"Z(1, 1, 0, 1, 3, 2)",15692,15765,15835,15902,15966,16026,16083,16136,16186,16233,16277,16318,16356,16390
"Z(1, 1, 1, 0, 0, 0)",4750,4708,4666,4624,4582,4540,4499,4457,4416,4375,4334,4293,4253,4213
"Z(1, 1, 1, 0, 0, 1)",5453,5414,5374,5334,5292,5250,5207,5164,5120,5076,5031,4986,4940,4894
"Z(1, 1, 1, 0, 0, 2)",2973,2909,2847,2786,2726,2668,2610,2554,2499,2445,2393,2341,2291,2241
"Z(1, 1, 1, 0, 1, 0)",8782,8775,8767,8758,8747,8735,8721,8707,8691,8673,8655,8635,8614,8592
"Z(1, 1, 1, 0, 1, 1)",10816,10828,10838,10846,10852,10856,10857,10856,10853,10849,10842,10833,10822,10810
"Z(1, 1, 1, 0, 1, 2)",5938,5901,5863,5824,5784,5744,5703,5661,5619,5577,5534,5491,5447,5403
"Z(1, 1, 1, 0, 2, 0)",12954,12991,13024,13052,13077,13097,13113,13127,13136,13143,13146,13147,13144,13139
"Z(1, 1, 1, 0, 2, 1)",15665,15734,15798,15858,15913,15964,16011,16054,16093,16128,16160,16188,16212,16233
"Z(1, 1, 1, 0, 2, 2)",11076,11087,11097,11103,11108,11110,11110,11107,11102,11095,11086,11074,11061,11045
"Z(1, 1, 1, 0, 3, 0)",25136,25345,25549,25749,25946,26139,26328,26513,26695,26872,27047,27217,27384,27546
"Z(1, 1, 1, 0, 3, 1)",33897,34256,34613,34967,35318,35666,36011,36353,36692,37027,37360,37688,38014,38336
"Z(1, 1, 1, 0, 3, 2)",29975,30262,30546,30826,31104,31378,31648,31915,32179,32439,32696,32949,33198,33444
"Z(1, 1, 1, 1, 0, 0)",6243,6210,6175,6140,6104,6068,6030,5992,5953,5913,5873,5832,5791,5750
"Z(1, 1, 1, 1, 0, 1)",5619,5580,5540,5500,5458,5416,5373,5330,5286,5241,5196,5151,5105,5059
"Z(1, 1, 1, 1, 0, 2)",4626,4577,4527,4478,4429,4381,4332,4284,4236,4189,4141,4094,4048,4002
