,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 0, 1, 0, 0)",1378,1339,1301,1267,1234,1203,1174,1146,1120,1095,1072,1050,1029,1008
"Z(0, 2, 0, 1, 0, 1)",3514,3423,3337,3256,3179,3106,3037,2971,2909,2849,2792,2737,2684,2633
"Z(0, 2, 0, 1, 0, 2)",14892,14610,14342,14089,13851,13623,13407,13201,13004,12815,12636,12461,12293,12130
"Z(0, 2, 0, 1, 1, 0)",1131,1090,1050,1013,978,945,913,884,855,828,803,778,755,732
"Z(0, 2, 0, 1, 1, 1)",4696,4572,4454,4343,4237,4136,4040,3948,3861,3777,3697,3619,3544,3472
"Z(0, 2, 0, 1, 1, 2)",11211,10968,10738,10519,10313,10115,9927,9748,9577,9412,9254,9102,8954,8812
"Z(0, 2, 0, 1, 2, 0)",1136,1093,1053,1015,980,946,913,883,854,826,800,775,751,728
"Z(0, 2, 0, 1, 2, 1)",3405,3313,3225,3143,3065,2990,2919,2852,2787,2726,2667,2610,2555,2502
"Z(0, 2, 0, 1, 2, 2)",4874,4742,4617,4498,4385,4278,4175,4078,3984,3895,3809,3726,3646,3569
"Z(0, 2, 0, 1, 3, 0)",857,825,794,765,738,712,688,664,642,621,601,582,564,547
"Z(0, 2, 0, 1, 3, 1)",2439,2373,2311,2253,2197,2145,2095,2047,2002,1959,1918,1878,1840,1804
"Z(0, 2, 0, 1, 3, 2)",3032,2952,2877,2806,2740,2676,2615,2558,2503,2450,2400,2352,2306,2261
"Z(0, 2, 1, 0, 0, 0)",6355,6213,6078,5952,5833,5719,5613,5511,5415,5322,5235,5151,5070,4993
"Z(0, 2, 1, 0, 0, 1)",4217,4118,4025,3936,3853,3774,3699,3627,3559,3495,3433,3374,3316,3262
"Z(0, 2, 1, 0, 0, 2)",9341,9136,8943,8759,8586,8420,8262,8112,7968,7830,7698,7570,7447,7327
"Z(0, 2, 1, 0, 1, 0)",5848,5691,5542,5401,5268,5140,5020,4905,4795,4689,4588,4491,4398,4308
"Z(0, 2, 1, 0, 1, 1)",5559,5422,5292,5169,5053,4942,4836,4735,4639,4547,4459,4373,4291,4212
"Z(0, 2, 1, 0, 1, 2)",7383,7204,7034,6874,6722,6576,6438,6305,6179,6057,5941,5829,5720,5615
"Z(0, 2, 1, 0, 2, 0)",5730,5573,5424,5283,5149,5022,4901,4786,4675,4570,4469,4372,4278,4188
"Z(0, 2, 1, 0, 2, 1)",4104,4001,3903,3811,3724,3641,3562,3487,3415,3346,3280,3217,3156,3097
"Z(0, 2, 1, 0, 2, 2)",3376,3277,3184,3095,3011,2930,2854,2781,2712,2645,2581,2520,2460,2403
"Z(0, 2, 1, 0, 3, 0)",4104,3989,3880,3777,3680,3588,3500,3416,3336,3259,3186,3116,3048,2983
"Z(0, 2, 1, 0, 3, 1)",2919,2846,2777,2711,2650,2591,2535,2483,2432,2384,2338,2294,2252,2211
"Z(0, 2, 1, 0, 3, 2)",2149,2088,2030,1975,1923,1874,1827,1783,1740,1700,1661,1624,1588,1554
"Z(0, 2, 1, 1, 0, 0)",11856,11582,11323,11077,10845,10623,10413,10212,10020,9836,9661,9491,9328,9170
"Z(0, 2, 1, 1, 0, 1)",4743,4631,4526,4426,4332,4243,4157,4076,3999,3925,3854,3786,3720,3656
"Z(0, 2, 1, 1, 0, 2)",16872,16679,16499,16332,16179,16033,15899,15774,15657,15547,15444,15346,15253,15164
"Z(0, 2, 1, 1, 1, 0)",14044,13715,13403,13108,12828,12560,12305,12062,11829,11605,11391,11184,10984,10791
"Z(0, 2, 1, 1, 1, 1)",6697,6545,6402,6266,6138,6015,5898,5787,5681,5579,5481,5387,5296,5209
