,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 1, 0, 1, 1)",1767,1711,1660,1613,1569,1529,1492,1458,1426,1396,1369,1343,1319,1296
"Z(0, 2, 1, 0, 1, 2)",9516,9236,8978,8738,8513,8305,8108,7924,7751,7589,7434,7286,7145,7009
"Z(0, 2, 1, 0, 2, 0)",8137,7956,7793,7645,7507,7375,7253,7142,7040,6948,6862,6774,6690,6612
"Z(0, 2, 1, 0, 2, 1)",914,887,862,840,819,800,783,767,752,738,725,714,702,692
"Z(0, 2, 1, 0, 2, 2)",1918,1856,1800,1747,1698,1652,1609,1569,1531,1496,1462,1430,1399,1370
"Z(0, 2, 1, 0, 3, 0)",6252,6112,5985,5869,5762,5665,5574,5487,5407,5334,5266,5202,5142,5081
"Z(0, 2, 1, 0, 3, 1)",594,576,559,544,530,517,505,494,484,474,465,457,449,441
"Z(0, 2, 1, 0, 3, 2)",713,696,680,666,652,640,628,618,607,598,589,581,573,565
"Z(0, 2, 1, 1, 0, 0)",5183,5012,4855,4708,4571,4443,4323,4211,4104,4005,3910,3819,3733,3650
"Z(0, 2, 1, 1, 0, 1)",744,715,688,663,639,618,597,578,560,544,528,512,498,484
"Z(0, 2, 1, 1, 0, 2)",7109,6898,6703,6522,6352,6195,6047,5908,5778,5656,5539,5428,5321,5220
"Z(0, 2, 1, 1, 1, 0)",5064,4906,4759,4623,4495,4377,4266,4161,4063,3971,3883,3800,3720,3643
"Z(0, 2, 1, 1, 1, 1)",1650,1587,1529,1475,1424,1377,1333,1292,1253,1216,1181,1148,1117,1087
"Z(0, 2, 1, 1, 1, 2)",13394,13018,12671,12349,12048,11768,11505,11258,11027,10810,10602,10404,10215,10033
"Z(0, 2, 1, 1, 2, 0)",8194,7970,7764,7574,7395,7230,7075,6930,6794,6667,6546,6430,6320,6215
"Z(0, 2, 1, 1, 2, 1)",919,888,860,833,808,786,764,744,725,707,691,675,660,645
"Z(0, 2, 1, 1, 2, 2)",2260,2188,2122,2060,2003,1949,1899,1852,1808,1766,1727,1689,1653,1619
"Z(0, 2, 1, 1, 3, 0)",7551,7379,7223,7079,6946,6823,6709,6604,6505,6415,6329,6248,6171,6098
"Z(0, 2, 1, 1, 3, 1)",668,648,629,612,596,581,568,555,543,532,521,512,502,494
"Z(0, 2, 1, 1, 3, 2)",798,779,762,747,732,718,706,694,683,673,663,654,645,637
"Z(1, 0, 0, 1, 0, 0)",1373,1311,1254,1200,1151,1105,1061,1021,982,947,912,880,849,820
"Z(1, 0, 0, 1, 0, 1)",1696,1621,1552,1487,1427,1372,1319,1271,1225,1182,1141,1102,1065,1031
"Z(1, 0, 0, 1, 0, 2)",3555,3435,3323,3220,3122,3032,2947,2867,2791,2721,2653,2589,2528,2469
"Z(1, 0, 0, 1, 1, 0)",4225,4052,3892,3743,3603,3473,3351,3236,3127,3025,2928,2836,2747,2663
"Z(1, 0, 0, 1, 1, 1)",2249,2155,2067,1986,1910,1840,1773,1711,1652,1597,1544,1494,1446,1400
"Z(1, 0, 0, 1, 1, 2)",6455,6240,6040,5855,5681,5519,5367,5223,5088,4961,4840,4724,4614,4508
"Z(1, 0, 0, 1, 2, 0)",4783,4607,4443,4291,4148,4014,3888,3770,3658,3553,3453,3357,3265,3177
"Z(1, 0, 0, 1, 2, 1)",1999,1920,1846,1778,1715,1655,1599,1547,1497,1450,1406,1364,1323,1284
"Z(1, 0, 0, 1, 2, 2)",9318,9002,8711,8439,8185,7948,7724,7514,7316,7131,6953,6784,6622,6467
"Z(1, 0, 0, 1, 3, 0)",7833,7581,7348,7131,6928,6738,6560,6392,6233,6084,5942,5806,5675,5550
"Z(1, 0, 0, 1, 3, 1)",4208,4056,3915,3785,3662,3548,3440,3339,3244,3154,3069,2987,2909,2835
"Z(1, 0, 0, 1, 3, 2)",19406,19611,19801,19976,20135,20287,20428,20560,20686,20809,20921,20968,20988,21005
"Z(1, 0, 1, 0, 0, 0)",5102,4969,4847,4736,4632,4536,4447,4365,4288,4218,4151,4088,4028,3971
"Z(1, 0, 1, 0, 0, 1)",7711,7536,7381,7242,7115,6999,6875,6763,6662,6572,6490,6415,6344,6266
"Z(1, 0, 1, 0, 0, 2)",6398,6220,6057,5905,5763,5632,5509,5394,5286,5185,5089,4998,4910,4827
"Z(1, 0, 1, 0, 1, 0)",9065,8777,8511,8264,8033,7819,7618,7430,7253,7087,6930,6780,6637,6501
"Z(1, 0, 1, 0, 1, 1)",4558,4452,4355,4267,4186,4113,4046,3984,3928,3877,3827,3777,3730,3687
